,type,flt,from,to,tm,gate
0,D,201,06 : 20,06 : 33,국내선,3
1,D,205,07 : 40,07 : 48,국내선,3
2,D,207,09 : 50,10 : 10,국내선,13
3,D,9887,11 : 00,11 : 00,국제선,34
4,D,209,11 : 15,11 : 15,국내선,1
5,D,257,12 : 50,,국내선,
6,D,213,12 : 55,,국내선,
7,D,215,13 : 50,,국내선,
8,D,217,14 : 45,,국내선,
9,D,219,15 : 50,,국내선,
10,D,221,16 : 55,,국내선,
11,D,223,18 : 20,,국내선,
12,D,225,19 : 25,,국내선,
13,D,227,19 : 45,,국내선,
14,D,229,20 : 00,,국내선,
15,D,231,20 : 20,,국내선,
16,A,202,09 : 15,09 : 11,국내선,
17,A,258,09 : 50,10 : 28,국내선,
18,A,204,10 : 30,10 : 34,국내선,
19,A,208,11 : 10,11 : 12,국내선,
20,A,210,13 : 15,,국내선,
21,A,212,14 : 10,,국내선,
22,A,216,16 : 10,,국내선,
23,A,252,16 : 30,,국내선,
24,A,9888,17 : 10,,국제선,
25,A,218,18 : 40,,국내선,
26,A,220,19 : 05,,국내선,
27,A,222,19 : 25,,국내선,
28,A,224,19 : 45,,국내선,
29,A,226,20 : 55,,국내선,
30,A,228,21 : 35,,국내선,
31,A,230,22 : 35,,국내선,
