,type,flt,from,to,tm,gate
0,D,633,06:30,06:53,T1,33
1,D,621,07:25,07:42,T1,24
2,D,881,07:55,08:28,T1,16
3,D,601,08:40,09:00,T1,9
4,D,611,09:05,09:35,T1,108
5,D,641,09:35,09:35,T1,28
6,D,617,09:40,10:09,T1,114
7,D,931,09:10,10:25,T1,125
8,D,631,11:30,11:30,T1,28
9,D,623,13:30,13:30,T1,38
10,D,613,14:35,14:35,T1,122
11,D,651,14:45,14:45,T1,18
12,D,9631,14:15,15:10,T1,126
13,D,615,15:25,15:25,T1,33
14,D,603,15:40,15:40,T1,37
15,D,643,15:50,15:50,T1,38
16,D,511,17:05,17:05,T1,127
17,D,591,18:20,18:20,T1,103
18,D,501,19:00,19:00,T1,102
19,D,503,20:35,20:35,T1,18
20,D,593,20:45,20:45,T1,131
21,D,541,20:50,20:50,T1,130
22,D,513,20:55,20:55,T1,14
23,D,505,21:00,21:00,T1,102
24,D,595,21:45,21:45,T1,125
25,A,592,05:00,05:02,T1,33
26,A,512,06:20,05:32,T1,24
27,A,502,06:40,06:20,T1,37
28,A,594,06:00,06:46,T1,108
29,A,596,08:35,08:27,T1,103
30,A,504,08:10,08:43,T1,114
31,A,542,07:30,08:51,T1,125
32,A,506,08:30,09:02,T1,28
33,A,514,10:20,10:23,T1,38
34,A,634,12:25,11:49,T1,18
35,A,642,13:30,13:30,T1,37
36,A,612,13:50,13:50,T1,122
37,A,882,14:20,14:20,T1,38
38,A,602,14:30,14:30,T1,9
39,A,622,14:35,14:35,T1,127
40,A,618,14:35,14:35,T1,33
41,A,632,16:55,16:55,T1,45
42,A,932,18:05,18:05,T1,102
43,A,614,19:35,19:35,T1,18
44,A,652,19:40,19:40,T1,130
45,A,644,20:05,20:05,T1,125
46,A,624,20:05,20:05,T1,14
47,A,616,20:10,20:10,T1,102
48,A,9632,19:55,20:40,T1,36
49,A,604,21:35,21:35,T1,27
